Title,Genre,Rating,Score,Overview,Star1,Star2,Star3,Star4,Director,metadata
A Star Is Born,"Drama, Music, Romance",0.0,0.8333333333333333,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg,Bradley Cooper,drama music romance musician help young singer find fame age alcoholism send career downward spiral lady gaga bradley cooper
True Grit,"Drama, Western",0.0,0.7222222222222223,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Joel Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,Ethan Coen,drama western stubborn teenager enlists help tough u marshal track father murderer joel coen ethan coen
Hævnen,"Drama, Romance",0.0,0.5138888888888888,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Wil Johnson,Susanne Bier,drama romance life two danish family cross extraordinary risky friendship come bud loneliness frailty sorrow lie wait mikael persbrandt susanne bier
Despicable Me,"Animation, Comedy, Crime",0.0,0.6111111111111112,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Chris Renaud,Steve Carell,Jason Segel,Russell Brand,Pierre Coffin,animation comedy crime criminal mastermind us trio orphan girl pawn grand scheme find love profoundly changing better chris renaud pierre coffin
50/50,"Comedy, Drama, Romance",0.0,0.6111111111111112,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Bryce Dallas Howard,Jonathan Levine,comedy drama romance inspired true story comedy centered 27yearold guy learns cancer diagnosis subsequent struggle beat disease joseph gordonlevitt jonathan levine
Kick-Ass,"Action, Comedy, Crime",0.0,0.5277777777777778,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,Garrett M. Brown,Matthew Vaughn,action comedy crime dave lizewski unnoticed high school student comic book fan one day decides become superhero even though power training meaningful reason aaron taylorjohnson matthew vaughn
Moneyball,"Biography, Drama, Sport",0.0,0.8194444444444444,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman,Bennett Miller,biography drama sport oakland general manager billy beanes successful attempt assemble baseball team lean budget employing computergenerated analysis acquire new player brad pitt bennett miller
La piel que habito,"Drama, Horror, Thriller",0.0,0.5833333333333334,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",Antonio Banderas,Elena Anaya,Jan Cornet,Marisa Paredes,Pedro Almodóvar,drama horror thriller brilliant plastic surgeon haunted past tragedy creates type synthetic skin withstands kind damage guinea pig mysterious volatile woman hold key obsession antonio banderas pedro almodóvar
Zombieland,"Adventure, Comedy, Fantasy",0.0,0.625,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin,Ruben Fleischer,adventure comedy fantasy shy student trying reach family ohio guntoting tough guy trying find last twinkie pair sister trying get amusement park join force travel across zombiefilled america jesse eisenberg ruben fleischer
Sherlock Holmes,"Action, Adventure, Mystery",0.0,0.4027777777777778,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong,Guy Ritchie,action adventure mystery detective sherlock holmes stalwart partner watson engage battle wit brawn nemesis whose plot threat england robert downey jr guy ritchie
