Title,Genre,Rating,Score,Overview,Star1,Star2,Star3,Star4,Director,metadata
Hotel Rwanda,"Biography, Drama, History",0.2941176470588234,0.7083333333333333,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali,Terry George,biography drama history paul rusesabagina hotel manager house thousand tutsi refugee struggle hutu militia rwanda africa cheadle terry george
Taegukgi hwinalrimyeo,"Action, Drama, War",0.2941176470588234,0.5,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong,Je-kyu Kang,action drama war two brother forced fight korean war elder decides take riskiest mission help shield younger battle jang donggun jekyu kang
Before Sunset,"Drama, Romance",0.2941176470588234,0.8611111111111112,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,Richard Linklater,drama romance nine year jesse celine first met encounter french leg jesses book tour ethan hawke richard linklater
Salinui chueok,"Crime, Drama, Mystery",0.2941176470588234,0.75,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Kang-ho Song,Kim Sang-kyung,Roe-ha Kim,Jae-ho Song,Bong Joon Ho,crime drama mystery small korean province 1986 two detective struggle case multiple young woman found raped murdered unknown culprit kangho song bong joon ho
Kill Bill: Vol. 1,"Action, Crime, Drama",0.2941176470588234,0.5694444444444444,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,Quentin Tarantino,action crime drama awakening fouryear coma former assassin wreaks vengeance team assassin betrayed uma thurman quentin tarantino
Finding Nemo,"Animation, Adventure, Comedy",0.2941176470588234,0.8611111111111112,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould,Andrew Stanton,animation adventure comedy son captured great barrier reef taken sydney timid clownfish set journey bring home lee unkrich andrew stanton
Catch Me If You Can,"Biography, Crime, Drama",0.2941176470588234,0.6527777777777777,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,Steven Spielberg,biography crime drama barely 21 yet frank skilled forger passed doctor lawyer pilot fbi agent carl becomes obsessed tracking con man revel pursuit leonardo dicaprio steven spielberg
Amores perros,"Drama, Thriller",0.2941176470588234,0.7638888888888888,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,Alejandro G. Iñárritu,drama thriller horrific car accident connects three story involving character dealing loss regret life harsh reality name love emilio echevarría alejandro g iñárritu
"Monsters, Inc.","Animation, Adventure, Comedy",0.2941176470588234,0.7083333333333333,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",David Silverman,Lee Unkrich,Billy Crystal,John Goodman,Pete Docter,animation adventure comedy order power city monster scare child scream however child toxic monster child get 2 monster realize thing may think david silverman pete docter
Lagaan: Once Upon a Time in India,"Adventure, Drama, Musical",0.2941176470588234,0.7777777777777777,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Aamir Khan,Raghuvir Yadav,Gracy Singh,Rachel Shelley,Ashutosh Gowariker,adventure drama musical people small village victorian india stake future game cricket ruthless british ruler aamir khan ashutosh gowariker
The Sixth Sense,"Drama, Mystery, Thriller",0.2941176470588234,0.5,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,M. Night Shyamalan,drama mystery thriller boy communicates spirit seek help disheartened child psychologist bruce willis night shyamalan
La leggenda del pianista sull'oceano,"Drama, Music, Romance",0.2941176470588234,0.41666666666666663,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",Tim Roth,Pruitt Taylor Vince,Mélanie Thierry,Bill Nunn,Giuseppe Tornatore,drama music romance baby boy discovered 1900 ocean liner grows musical prodigy never setting foot land tim roth giuseppe tornatore
The Truman Show,"Comedy, Drama",0.2941176470588234,0.8611111111111112,An insurance salesman discovers his whole life is actually a reality TV show.,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,Peter Weir,comedy drama insurance salesman discovers whole life actually reality tv show jim carrey peter weir
"Crna macka, beli macor","Comedy, Crime, Romance",0.2941176470588234,0.625,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,Bajram Severdzan,Srdjan 'Zika' Todorovic,Branka Katic,Florijan Ajdini,Emir Kusturica,comedy crime romance matko son zare live bank danube river get hustling basically anything make living order pay business debt matko agrees marry zare sister local gangster bajram severdzan emir kusturica
The Big Lebowski,"Comedy, Crime, Sport",0.2941176470588234,0.5972222222222222,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,Joel Coen,comedy crime sport jeff dude lebowski mistaken millionaire name seek restitution ruined rug enlists bowling buddy help get ethan coen joel coen
Fa yeung nin wah,"Drama, Romance",0.2941176470588234,0.7916666666666667,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,Tung Cho 'Joe' Cheung,Kar-Wai Wong,drama romance two neighbor woman man form strong bond suspect extramarital activity spouse however agree keep bond platonic commit similar wrong tony chiuwai leung karwai wong
Trainspotting,Drama,0.2941176470588234,0.7638888888888888,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd,Danny Boyle,drama renton deeply immersed edinburgh drug scene try clean get despite allure drug influence friend ewan mcgregor danny boyle
Fargo,"Crime, Drama, Thriller",0.2941176470588234,0.7916666666666667,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi,Joel Coen,crime drama thriller jerry lundegaards inept crime fall apart due henchmens bungling persistent police work quite pregnant marge gunderson ethan coen joel coen
Before Sunrise,"Drama, Romance",0.2941176470588234,0.6805555555555556,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,Richard Linklater,drama romance young man woman meet train europe wind spending one evening together vienna unfortunately know probably night together ethan hawke richard linklater
Trois couleurs: Rouge,"Drama, Mystery, Romance",0.2941176470588234,1.0,A model discovers a retired judge is keen on invading people's privacy.,Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Jean-Pierre Lorit,Krzysztof Kieslowski,drama mystery romance model discovers retired judge keen invading people privacy irène jacob krzysztof kieslowski
Chung Hing sam lam,"Comedy, Crime, Drama",0.2941176470588234,0.6805555555555556,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",Brigitte Lin,Takeshi Kaneshiro,Tony Chiu-Wai Leung,Faye Wong,Kar-Wai Wong,comedy crime drama two melancholy hong kong policeman fall love one mysterious female underworld figure beautiful ethereal server latenight restaurant frequents brigitte lin karwai wong
Jurassic Park,"Action, Adventure, Sci-Fi",0.2941176470588234,0.5555555555555556,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Steven Spielberg,action adventure scifi pragmatic paleontologist visiting almost complete theme park tasked protecting couple kid power failure cause park cloned dinosaur run loose sam neill steven spielberg
In the Name of the Father,"Biography, Crime, Drama",0.2941176470588234,0.7777777777777777,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Philip King,Jim Sheridan,biography crime drama man coerced confession ira bombing commit result imprisonment father well english lawyer fight free daniel daylewis jim sheridan
Dead Poets Society,"Comedy, Drama",0.2941176470588234,0.7083333333333333,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,Peter Weir,comedy drama maverick teacher john keating us poetry embolden boarding school student new height selfexpression robin williams peter weir
Stand by Me,"Adventure, Drama",0.2941176470588234,0.6527777777777777,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,Rob Reiner,adventure drama death one friend writer recount childhood journey friend find body missing boy wil wheaton rob reiner
Platoon,"Drama, War",0.2941176470588234,0.8888888888888888,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David,Oliver Stone,drama war chris taylor neophyte recruit vietnam find caught battle will two sergeant one good evil shrewd examination brutality war duality man conflict charlie sheen oliver stone
"Paris, Texas",Drama,0.2941176470588234,0.6944444444444444,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Aurore Clément,Wim Wenders,drama travis henderson aimless drifter missing four year wanders desert must reconnect society life family harry dean stanton wim wenders
Kaze no tani no Naushika,"Animation, Adventure, Fantasy",0.2941176470588234,0.8055555555555556,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya,Hayao Miyazaki,animation adventure fantasy warrior pacifist princess nausicaä desperately struggle prevent two warring nation destroying dying planet sumi shimamoto hayao miyazaki
The Thing,"Horror, Mystery, Sci-Fi",0.2941176470588234,0.4027777777777778,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,Kurt Russell,Wilford Brimley,Keith David,Richard Masur,John Carpenter,horror mystery scifi research team antarctica hunted shapeshifting alien assumes appearance victim kurt russell john carpenter
Pink Floyd: The Wall,"Drama, Fantasy, Music",0.2941176470588234,0.26388888888888895,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,Bob Geldof,Christine Hargreaves,James Laurenson,Eleanor David,Alan Parker,drama fantasy music confined troubled rock star descends madness midst physical social isolation everyone bob geldof alan parker
Fanny och Alexander,Drama,0.2941176470588234,1.0,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Bertil Guve,Pernilla Allwin,Kristina Adolphson,Börje Ahlstedt,Ingmar Bergman,drama two young swedish child experience many comedy tragedy family ekdahls bertil guve ingmar bergman
Blade Runner,"Action, Sci-Fi, Thriller",0.2941176470588234,0.7777777777777777,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,Ridley Scott,action scifi thriller blade runner must pursue terminate four replicants stole ship space returned earth find creator harrison ford ridley scott
Life of Brian,Comedy,0.2941176470588234,0.6805555555555556,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,Terry Jones,comedy born original christmas stable next door jesus christ brian nazareth spends life mistaken messiah graham chapman terry jones
The Deer Hunter,"Drama, War",0.2941176470588234,0.8055555555555556,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,Robert De Niro,Christopher Walken,John Cazale,John Savage,Michael Cimino,drama war indepth examination way u vietnam war impact disrupts life people small industrial town pennsylvania robert de niro michael cimino
Rocky,"Drama, Sport",0.2941176470588234,0.5833333333333334,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,John G. Avildsen,drama sport smalltime boxer get supremely rare chance fight heavyweight champion bout strives go distance selfrespect sylvester stallone john g avildsen
Chinatown,"Drama, Mystery, Thriller",0.2941176470588234,0.8888888888888888,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,Roman Polanski,drama mystery thriller private detective hired expose adulterer find caught web deceit corruption murder jack nicholson roman polanski
Paper Moon,"Comedy, Crime, Drama",0.2941176470588234,0.6805555555555556,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Ryan O'Neal,Tatum O'Neal,Madeline Kahn,John Hillerman,Peter Bogdanovich,comedy crime drama great depression con man find saddled young girl may may daughter two forge unlikely partnership ryan oneal peter bogdanovich
Cool Hand Luke,"Crime, Drama",0.2941176470588234,0.8888888888888888,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Paul Newman,George Kennedy,Strother Martin,J.D. Cannon,Stuart Rosenberg,crime drama laid back southern man sentenced two year rural prison refuse conform paul newman stuart rosenberg
What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",0.2941176470588234,0.6527777777777777,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Bette Davis,Joan Crawford,Victor Buono,Wesley Addy,Robert Aldrich,drama horror thriller former child star torment paraplegic sister decaying hollywood mansion bette davis robert aldrich
Ben-Hur,"Adventure, Drama, History",0.2941176470588234,0.8611111111111112,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet,William Wyler,adventure drama history jewish prince betrayed sent slavery roman friend regains freedom come back revenge charlton heston william wyler
The Bridge on the River Kwai,"Adventure, Drama, War",0.2941176470588234,0.8194444444444444,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,David Lean,adventure drama war british pow forced build railway bridge across river kwai japanese captor knowing allied force planning destroy william holden david lean
On the Waterfront,"Crime, Drama, Thriller",0.2941176470588234,0.875,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,Elia Kazan,crime drama thriller exprize fighter turned longshoreman struggle stand corrupt union boss marlon brando elia kazan
Ace in the Hole,"Drama, Film-Noir",0.2941176470588234,0.6111111111111112,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall,Billy Wilder,drama filmnoir frustrated former bigcity journalist stuck working albuquerque newspaper exploit story man trapped cave rekindle career situation quickly escalates outofcontrol circus kirk douglas billy wilder
The Third Man,"Film-Noir, Mystery, Thriller",0.2941176470588234,0.9583333333333333,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard,Carol Reed,filmnoir mystery thriller pulp novelist holly martin travel shadowy postwar vienna find investigating mysterious death old friend harry lime orson welles carol reed
Rebecca,"Drama, Mystery, Romance",0.2941176470588234,0.8055555555555556,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,Alfred Hitchcock,drama mystery romance selfconscious woman juggle adjusting new role aristocrat wife avoiding intimidated first wife spectral presence laurence olivier alfred hitchcock
Mr. Smith Goes to Washington,"Comedy, Drama",0.2941176470588234,0.625,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",James Stewart,Jean Arthur,Claude Rains,Edward Arnold,Frank Capra,comedy drama naive man appointed fill vacancy united state senate plan promptly collide political corruption doesnt back james stewart frank capra
Gone with the Wind,"Drama, History, Romance",0.2941176470588234,0.9583333333333333,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,George Cukor,Sam Wood,Clark Gable,Vivien Leigh,Victor Fleming,drama history romance manipulative woman roguish man conduct turbulent romance american civil war reconstruction period george cukor victor fleming
It Happened One Night,"Comedy, Romance",0.2941176470588234,0.8194444444444444,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,Frank Capra,comedy romance renegade reporter crazy young heiress meet bus heading new york end stuck bus leaf behind one stop clark gable frank capra
La La Land,"Comedy, Drama, Music",0.23529411764705888,0.9166666666666667,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,Damien Chazelle,comedy drama music navigating career los angeles pianist actress fall love attempting reconcile aspiration future ryan gosling damien chazelle
Lion,"Biography, Drama",0.23529411764705888,0.5694444444444444,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,Garth Davis,biography drama fiveyearold indian boy adopted australian couple getting lost hundred kilometer home 25 year later set find lost family dev patel garth davis
The Martian,"Adventure, Drama, Sci-Fi",0.23529411764705888,0.7222222222222223,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara,Ridley Scott,adventure drama scifi astronaut becomes stranded mar team assume dead must rely ingenuity find way signal earth alive matt damon ridley scott
Zootopia,"Animation, Adventure, Comedy",0.23529411764705888,0.6944444444444444,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,Byron Howard,animation adventure comedy city anthropomorphic animal rookie bunny cop cynical con artist fox must work together uncover conspiracy rich moore byron howard
Kaguyahime no monogatari,"Animation, Adventure, Drama",0.23529411764705888,0.8472222222222221,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",Chloë Grace Moretz,James Caan,Mary Steenburgen,James Marsden,Isao Takahata,animation adventure drama found inside shining stalk bamboo old bamboo cutter wife tiny girl grows rapidly exquisite young lady mysterious young princess enthralls encounter ultimately must confront fate punishment crime chloë grace moretz isao takahata
Wonder,"Drama, Family",0.23529411764705888,0.5277777777777778,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,Stephen Chbosky,drama family based new york time bestseller movie tell incredibly inspiring heartwarming story august pullman boy facial difference enters fifth grade attending mainstream elementary school first time jacob tremblay stephen chbosky
Gully Boy,"Drama, Music, Romance",0.23529411764705888,0.5138888888888888,A coming-of-age story based on the lives of street rappers in Mumbai.,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz,Zoya Akhtar,drama music romance comingofage story based life street rapper mumbai vijay varma zoya akhtar
Short Term 12,Drama,0.23529411764705888,0.75,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Brie Larson,Frantz Turner,John Gallagher Jr.,Kaitlyn Dever,Destin Daniel Cretton,drama 20something supervising staff member residential treatment facility navigates troubled water world alongside coworker longtime boyfriend brie larson destin daniel cretton
Serbuan maut 2: Berandal,"Action, Crime, Thriller",0.23529411764705888,0.5972222222222222,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,Gareth Evans,action crime thriller short time first raid rama go undercover thug jakarta plan bring syndicate uncover corruption within police force iko uwais gareth evans
The Imitation Game,"Biography, Drama, Thriller",0.23529411764705888,0.625,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech,Morten Tyldum,biography drama thriller world war ii english mathematical genius alan turing try crack german enigma code help fellow mathematician benedict cumberbatch morten tyldum
Guardians of the Galaxy,"Action, Adventure, Comedy",0.23529411764705888,0.6666666666666667,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,James Gunn,action adventure comedy group intergalactic criminal must pull together stop fanatical warrior plan purge universe chris pratt james gunn
Blade Runner 2049,"Action, Drama, Mystery",0.23529411764705888,0.7361111111111112,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,Denis Villeneuve,action drama mystery young blade runner k discovery longburied secret lead track former blade runner rick deckard who missing thirty year harrison ford denis villeneuve
Her,"Drama, Romance, Sci-Fi",0.23529411764705888,0.8611111111111112,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara,Spike Jonze,drama romance scifi near future lonely writer develops unlikely relationship operating system designed meet every need joaquin phoenix spike jonze
Bohemian Rhapsody,"Biography, Drama, Music",0.23529411764705888,0.29166666666666663,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy,Bryan Singer,biography drama music story legendary british rock band queen lead singer freddie mercury leading famous performance live aid 1985 ramus malek bryan singer
The Revenant,"Action, Adventure, Drama",0.23529411764705888,0.6666666666666667,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Alejandro G. Iñárritu,action adventure drama frontiersman fur trading expedition 1820s fight survival mauled bear left dead member hunting team leonardo dicaprio alejandro g iñárritu
The Perks of Being a Wallflower,"Drama, Romance",0.23529411764705888,0.5416666666666666,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd,Stephen Chbosky,drama romance introvert freshman taken wing two senior welcome real world logan lerman stephen chbosky
The King's Speech,"Biography, Drama, History",0.23529411764705888,0.8333333333333333,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",Colin Firth,Geoffrey Rush,Helena Bonham Carter,Derek Jacobi,Tom Hooper,biography drama history story king george vi impromptu ascension throne british empire 1936 speech therapist helped unsure monarch overcome stammer colin firth tom hooper
The Help,Drama,0.23529411764705888,0.4722222222222222,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard,Tate Taylor,drama aspiring author civil right movement 1960s decides write book detailing african american maid point view white family work hardship go daily basis emma stone tate taylor
Deadpool,"Action, Adventure, Comedy",0.23529411764705888,0.5138888888888888,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,Tim Miller,action adventure comedy wisecracking mercenary get experimented becomes immortal ugly set track man ruined look ryan reynolds tim miller
Darbareye Elly,"Drama, Mystery",0.23529411764705888,0.8194444444444444,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,Golshifteh Farahani,Shahab Hosseini,Taraneh Alidoosti,Merila Zare'i,Asghar Farhadi,drama mystery mysterious disappearance kindergarten teacher picnic north iran followed series misadventure fellow traveler golshifteh farahani asghar farhadi
My Name Is Khan,Drama,0.23529411764705888,0.3055555555555556,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Shah Rukh Khan,Kajol,Sheetal Menon,Katie A. Keane,Karan Johar,drama indian muslim man aspergers syndrome take challenge speak president united state seriously embarks crosscountry journey shah rukh khan karan johar
Slumdog Millionaire,"Drama, Romance",0.23529411764705888,0.7777777777777777,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla,Danny Boyle,drama romance mumbai teenager reflects life accused cheating indian version want millionaire loveleen tandan danny boyle
Black Swan,"Drama, Thriller",0.23529411764705888,0.7083333333333333,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",Natalie Portman,Mila Kunis,Vincent Cassel,Winona Ryder,Darren Aronofsky,drama thriller committed dancer struggle maintain sanity winning lead role production tchaikovsky swan lake natalie portman darren aronofsky
Tropa de Elite,"Action, Crime, Drama",0.23529411764705888,0.06944444444444448,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",Wagner Moura,André Ramiro,Caio Junqueira,Milhem Cortaz,José Padilha,action crime drama 1997 rio de janeiro captain nascimento find substitute position trying take drug dealer criminal pope visit wagner moura josé padilha
The Avengers,"Action, Adventure, Sci-Fi",0.23529411764705888,0.5694444444444444,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,Joss Whedon,action adventure scifi earth mightiest hero must come together learn fight team going stop mischievous loki alien army enslaving humanity robert downey jr joss whedon
Persepolis,"Animation, Biography, Drama",0.23529411764705888,0.8611111111111112,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,Marjane Satrapi,Chiara Mastroianni,Catherine Deneuve,Gena Rowlands,Vincent Paronnaud,animation biography drama precocious outspoken iranian girl grows islamic revolution marjane satrapi vincent paronnaud
Dallas Buyers Club,"Biography, Drama",0.23529411764705888,0.7222222222222223,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Matthew McConaughey,Jennifer Garner,Jared Leto,Steve Zahn,Jean-Marc Vallée,biography drama 1985 dallas electrician hustler ron woodroof work around system help aid patient get medication need diagnosed disease matthew mcconaughey jeanmarc vallée
The Pursuit of Happyness,"Biography, Drama",0.23529411764705888,0.5,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Will Smith,Thandie Newton,Jaden Smith,Brian Howe,Gabriele Muccino,biography drama struggling salesman take custody son he poised begin lifechanging professional career smith gabriele muccino
Blood Diamond,"Adventure, Drama, Thriller",0.23529411764705888,0.5,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers,Edward Zwick,adventure drama thriller fisherman smuggler syndicate businessmen match wit possession priceless diamond leonardo dicaprio edward zwick
